S.No,ID,Predicted_Array
1,198980,0
2,167688,0
3,198768,1
4,192564,1
5,151199,1
6,170276,0
7,218649,1
8,202745,0
9,202968,1
10,182536,0
11,159765,0
12,158214,0
13,156984,0
14,177120,1
15,153916,0
16,178686,0
17,163682,1
18,206430,0
19,190982,0
20,168125,1
21,197399,0
22,201071,0
23,166580,0
24,170423,1
25,167856,1
26,195450,0
27,189381,0
28,213265,1
29,198128,0
30,213989,0
31,155420,0
32,184814,1
33,174931,1
34,202721,1
35,184813,0
36,150504,0
37,203495,0
38,160484,0
39,154541,1
40,219674,1
41,191024,1
42,220543,1
43,177484,1
44,190840,0
45,211946,1
46,207014,0
47,167155,1
48,204373,0
49,188508,0
50,177335,0
51,210430,1
52,160657,1
53,217841,0
54,185189,1
55,181151,1
56,165212,1
57,161399,0
58,163721,0
59,202660,1
60,206856,1
61,188962,1
62,186467,0
63,208606,1
64,166188,0
65,205157,0
66,210815,1
67,152301,1
68,157502,0
69,181029,0
70,186243,0
71,152971,0
72,198989,0
73,153991,1
74,181998,0
75,201353,1
76,156688,1
77,158205,0
78,167184,1
79,210847,0
80,216852,1
81,171979,0
82,154367,1
83,216267,0
84,193007,1
85,178401,1
86,175770,0
87,172601,0
88,201630,1
89,177305,0
90,179563,0
91,213729,1
92,147780,0
93,178906,0
94,159739,1
95,166031,0
96,210458,0
97,218319,1
98,181473,1
99,177891,1
100,167063,1
101,182001,1
102,187796,0
103,188120,1
104,192433,0
105,220496,1
106,159794,1
107,151820,0
108,194205,0
109,178765,1
110,176148,1
111,150583,1
112,151349,0
113,172760,1
114,214402,0
115,216510,0
116,155072,1
117,189117,0
118,163854,1
119,220727,1
120,195135,0
121,153447,0
122,215746,0
123,219611,1
124,180943,0
125,151409,1
126,187908,0
127,169901,0
128,197878,1
129,214538,0
130,167573,1
131,167742,1
132,165175,1
133,156004,0
134,216188,0
135,173975,0
136,180984,0
137,185148,1
138,150978,0
139,149218,0
140,216441,1
141,158189,0
142,187684,1
143,200109,1
144,173655,1
145,204744,0
146,178461,1
147,190625,1
148,152603,0
149,214697,0
150,194075,1
151,220856,0
152,203592,1
153,156709,0
154,148575,0
155,163910,0
156,200494,0
157,207051,0
158,183479,0
159,207262,1
160,184390,1
161,159936,1
162,173894,0
163,214392,1
164,210383,1
165,207311,1
166,184440,0
167,185128,0
168,175625,1
169,206759,1
170,170499,0
171,176447,0
172,169991,0
173,189188,0
174,188192,1
175,189529,0
176,181204,1
177,170547,1
178,213652,0
179,214448,1
180,148465,1
181,197934,1
182,158323,0
183,203575,0
184,175848,0
185,208574,1
186,210691,1
187,189876,0
188,216832,0
189,209465,1
190,218769,1
191,156702,1
192,174808,0
193,190148,1
194,178075,0
195,210043,0
196,220125,0
197,215083,1
198,189052,0
199,164394,1
200,184527,0
201,208397,1
202,172877,1
203,185911,1
204,182772,1
205,211633,0
206,215184,1
207,172131,1
208,217365,0
209,206832,1
210,167347,0
211,179351,0
212,205962,1
213,206984,1
214,177809,0
215,159990,1
216,206041,0
217,185507,1
218,179652,1
219,152959,1
220,166351,1
221,193627,0
222,195738,1
223,191863,1
224,178775,1
225,175544,0
226,182212,0
227,148108,1
228,165071,1
229,161737,1
230,183326,1
231,203839,0
232,181041,1
233,180953,0
234,163049,1
